ACTB,,,,,
Sample,Target,Ct Value Run 1 20240319,Ct Value Run 2 20240319,,Ct Ave
Thy_35_TN,ACTB,15.39589202,15.25213073,,15.32401137
Thy_37_TN,ACTB,17.95547903,17.7426145,,17.84904677
Thy_39_TN,ACTB,19.8168225,17.66792188,,18.74237219
Thy_42_TN,ACTB,19.00988698,18.47219141,,18.74103919
Thy_44_TN,ACTB,15.73228198,15.99267272,,15.86247735
Thy_45_TN,ACTB,18.48925933,17.86264382,,18.17595157
Thy_1_HS,ACTB,18.66287218,18.55399114,,18.60843166
Thy_3_HS,ACTB,20.38835586,17.05224513,,18.72030049
Thy_5_HS,ACTB,17.73181718,18.34054851,,18.03618284
Thy_6_HS,ACTB,17.34494913,17.49173545,,17.41834229
Thy_7_HS,ACTB,19.89019699,19.87436036,,19.88227867
Thy_50_HS,ACTB,18.78500951,19.24468133,,19.01484542
Thy_29_HSAX,ACTB,15.93488876,18.46346447,,17.19917661
Thy_34_HSAX,ACTB,19.97043893,17.78920508,,18.87982201
Thy_71_HSAX,ACTB,18.71861429,16.80515668,,17.76188548
Thy_73_HSAX,ACTB,18.13531008,17.11922276,,17.62726642
Thy_76_HSAX,ACTB,17.72863614,17.48957222,,17.60910418
Thy_78_HSAX,ACTB,21.81737231,21.64898258,,21.73317745
