CAT,,,,,,,
Sample,Target,Ct Value Run 1 20240323,Ct Value Run 2 20240323,,Ct Ave,,
Thy_35_TN,CAT,29.60324537,27.61818224,,28.6107138,, 
Thy_37_TN,CAT,27.59463976,30.65945016,,29.12704496,,
Thy_39_TN,CAT,27.67433101,29.05020542,,28.36226821,,
Thy_42_TN,CAT,28.17361032,26.10427198,,27.13894115,,
Thy_44_TN,CAT,20.44145279,20.63212477,,20.53678878,,
Thy_45_TN,CAT,22.30726415,22.22234301,,22.26480358,,
Thy_1_HS,CAT,23.30365953,23.41000671,,23.35683312,,
Thy_3_HS,CAT,24.01563424,23.94275231,,23.97919327,,
Thy_5_HS,CAT,22.57541154,23.11062872,,22.84302013,,
Thy_6_HS,CAT,23.3954636,23.30580931,,23.35063646,,
Thy_7_HS,CAT,24.07738137,25.01675405,,24.54706771,,
Thy_50_HS,CAT,23.40728617,23.82336592,,23.61532604,,
Thy_29_HSAX,CAT,21.74293194,22.09293578,,21.91793386,,
Thy_34_HSAX,CAT,23.46688342,23.10233048,,23.28460695,,
Thy_71_HSAX,CAT,24.0181283,25.68431293,,24.85122062,,
Thy_73_HSAX,CAT,22.64912959,22.63695608,,22.64304283,,
Thy_76_HSAX,CAT,26.21407787,25.66251457,,25.93829622,,
Thy_78_HSAX,CAT,28.13295352,28.44765327,,28.2903034,,
