CD36,,,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave,,
Thy_35_TN,CD36,32.54986263,31.69231196,,32.1210873,, 
Thy_37_TN,CD36,34.31312957,34.12258661,,34.21785809,,
Thy_39_TN,CD36,32.96258537,32.49023613,,32.72641075,,
Thy_42_TN,CD36,30.70165469,31.2859613,,30.99380799,,
Thy_44_TN,CD36,30.69622003,31.46100986,,31.07861494,,
Thy_45_TN,CD36,32.00133601,32.41601153,,32.20867377,,
Thy_1_HS,CD36,33.49702276,31.20706087,,32.35204181,,
Thy_3_HS,CD36,30.62649882,32.18111181,,31.40380532,,
Thy_5_HS,CD36,30.27224117,30.3685749,,30.32040804,,
Thy_6_HS,CD36,30.76558634,30.22536002,,30.49547318,,
Thy_7_HS,CD36,31.40259024,31.15589694,,31.27924359,,
Thy_50_HS,CD36,30.14295331,31.00456414,,30.57375872,,
Thy_29_HSAX,CD36,31.79101484,30.72344242,,31.25722863,,
Thy_34_HSAX,CD36,30.60554349,30.63023516,,30.61788933,,
Thy_71_HSAX,CD36,30.27134975,30.30413057,,30.28774016,,
Thy_73_HSAX,CD36,32.00632866,31.06149936,,31.53391401,,
Thy_76_HSAX,CD36,30.53483473,32.29649332,,31.41566403,,
Thy_78_HSAX,CD36,31.17191438,33.53862477,,32.35526957,,
