GPX4,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave
Thy_35_TN,GPX4,23.44522572,23.57148117,,23.50835344
Thy_37_TN,GPX4,26.08961277,26.50698282,,26.29829779
Thy_39_TN,GPX4,26.09025959,26.15290462,,26.1215821
Thy_42_TN,GPX4,25.26228405,25.15187306,,25.20707855
Thy_44_TN,GPX4,23.54768391,23.8669834,,23.70733366
Thy_45_TN,GPX4,24.83426801,25.08363342,,24.95895072
Thy_1_HS,GPX4,24.90915729,25.05425052,,24.98170391
Thy_3_HS,GPX4,25.56160483,26.02409004,,25.79284744
Thy_5_HS,GPX4,25.32203659,25.196693,,25.25936479
Thy_6_HS,GPX4,25.0587433,25.12641628,,25.09257979
Thy_7_HS,GPX4,25.6642294,25.24845305,,25.45634122
Thy_50_HS,GPX4,25.14827997,25.12364214,,25.13596105
Thy_29_HSAX,GPX4,24.12358976,23.64003965,,23.8818147
Thy_34_HSAX,GPX4,24.8736153,24.97896232,,24.92628881
Thy_71_HSAX,GPX4,24.0407021,24.11635992,,24.07853101
Thy_73_HSAX,GPX4,25.18478701,25.22791272,,25.20634986
Thy_76_HSAX,GPX4,26.72839725,26.59946881,,26.66393303
Thy_78_HSAX,GPX4,29.01823463,28.7010182,,28.85962642
