NFE2L2,,,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave,,
Thy_35_TN,NFE2L2,29.15563862,29.0445623,,29.10010046,, 
Thy_37_TN,NFE2L2,32.00416849,30.87655662,,31.44036256,,
Thy_39_TN,NFE2L2,31.56096078,32.07556341,,31.8182621,,
Thy_42_TN,NFE2L2,30.8591068,30.36030836,,30.60970758,,
Thy_44_TN,NFE2L2,30.04343115,29.51003022,,29.77673068,,
Thy_45_TN,NFE2L2,27.36741935,27.51375422,,27.44058678,,
Thy_1_HS,NFE2L2,28.21671246,28.34642617,,28.28156932,,
Thy_3_HS,NFE2L2,28.95502795,28.93664722,,28.94583759,,
Thy_5_HS,NFE2L2,27.80229916,28.47828073,,28.14028994,,
Thy_6_HS,NFE2L2,28.95801297,29.84491008,,29.40146153,,
Thy_7_HS,NFE2L2,27.35901512,27.98457682,,27.67179597,,
Thy_50_HS,NFE2L2,29.12229162,29.79685267,,29.45957215,,
Thy_29_HSAX,NFE2L2,28.36850371,29.25459877,,28.81155124,,
Thy_34_HSAX,NFE2L2,29.10920516,29.59337667,,29.35129092,,
Thy_71_HSAX,NFE2L2,29.73842161,29.73483164,,29.73662662,,
Thy_73_HSAX,NFE2L2,28.95576454,29.17272709,,29.06424582,,
Thy_76_HSAX,NFE2L2,29.35184809,29.24596036,,29.29890422,,
Thy_78_HSAX,NFE2L2,32.65294989,32.25901978,,32.45598483,,
