PPARA,,,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave,,
Thy_35_TN,PPARA,27.40876789,27.12016083,,27.26446436,, 
Thy_37_TN,PPARA,28.66509047,28.46782344,,28.56645696,,
Thy_39_TN,PPARA,29.0390429,29.20519855,,29.12212073,,
Thy_42_TN,PPARA,28.5087747,28.53966814,,28.52422142,,
Thy_44_TN,PPARA,28.0028937,27.71073789,,27.85681579,,
Thy_45_TN,PPARA,28.09953468,27.87227415,,27.98590442,,
Thy_1_HS,PPARA,27.32713006,27.27650054,,27.3018153,,
Thy_3_HS,PPARA,29.00284145,28.5577601,,28.78030078,,
Thy_5_HS,PPARA,27.52045065,27.83245299,,27.67645182,,
Thy_6_HS,PPARA,27.38386636,27.51640656,,27.45013646,,
Thy_7_HS,PPARA,28.48073285,29.00109392,,28.74091338,,
Thy_50_HS,PPARA,28.24592653,28.72158109,,28.48375381,,
Thy_29_HSAX,PPARA,26.80303124,27.2742546,,27.03864292,,
Thy_34_HSAX,PPARA,29.01449961,29.18768892,,29.10109426,,
Thy_71_HSAX,PPARA,27.56467122,28.046666,,27.80566861,,
Thy_73_HSAX,PPARA,27.14339147,26.6307229,,26.88705719,,
Thy_76_HSAX,PPARA,28.17263035,28.52304751,,28.34783893,,
Thy_78_HSAX,PPARA,31.02449405,32.21114926,,31.61782165,,
