PRDX6,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave
Thy_35_TN,PRDX6,21.18380815,21.36159698,,21.27270256
Thy_37_TN,PRDX6,23.58898733,23.79245637,,23.69072185
Thy_39_TN,PRDX6,23.98368905,23.66654189,,23.82511547
Thy_42_TN,PRDX6,24.22554232,24.23929983,,24.23242108
Thy_44_TN,PRDX6,22.24044934,22.1601052,,22.20027727
Thy_45_TN,PRDX6,22.62956694,22.64836421,,22.63896557
Thy_1_HS,PRDX6,22.16961714,22.06659368,,22.11810541
Thy_3_HS,PRDX6,22.60455901,22.5776171,,22.59108806
Thy_5_HS,PRDX6,22.28252752,22.39897715,,22.34075234
Thy_6_HS,PRDX6,22.02841793,22.26233842,,22.14537817
Thy_7_HS,PRDX6,23.42185448,23.99701934,,23.70943691
Thy_50_HS,PRDX6,23.07021446,23.04569859,,23.05795652
Thy_29_HSAX,PRDX6,22.05218347,22.22893759,,22.14056053
Thy_34_HSAX,PRDX6,23.09162529,23.16398954,,23.12780741
Thy_71_HSAX,PRDX6,22.89477954,23.22740198,,23.06109076
Thy_73_HSAX,PRDX6,22.36730088,22.39691807,,22.38210947
Thy_76_HSAX,PRDX6,23.81380019,23.75330801,,23.7835541
Thy_78_HSAX,PRDX6,26.95751298,27.25285586,,27.10518442
