RXRA,,,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave,,
Thy_35_TN,RXRA,25.21920664,24.76404338,,24.99162501,, 
Thy_37_TN,RXRA,26.86536289,27.07372194,,26.96954242,,
Thy_39_TN,RXRA,27.15795166,27.25723489,,27.20759328,,
Thy_42_TN,RXRA,26.48441287,26.34584541,,26.41512914,,
Thy_44_TN,RXRA,25.41250761,25.28543362,,25.34897062,,
Thy_45_TN,RXRA,25.99650838,26.00976663,,26.00313751,,
Thy_1_HS,RXRA,25.07398545,25.08120991,,25.07759768,,
Thy_3_HS,RXRA,26.07659559,26.1302222,,26.1034089,,
Thy_5_HS,RXRA,25.7537549,25.9556199,,25.8546874,,
Thy_6_HS,RXRA,24.94839046,24.88343303,,24.91591174,,
Thy_7_HS,RXRA,25.93481794,25.84393429,,25.88937611,,
Thy_50_HS,RXRA,25.76557245,25.95676282,,25.86116764,,
Thy_29_HSAX,RXRA,24.91243729,25.06285711,,24.9876472,,
Thy_34_HSAX,RXRA,25.02264595,25.03582062,,25.02923329,,
Thy_71_HSAX,RXRA,25.94276177,26.04042887,,25.99159532,,
Thy_73_HSAX,RXRA,25.3334609,25.26172774,,25.29759432,,
Thy_76_HSAX,RXRA,26.46044295,26.38515685,,26.4227999,,
Thy_78_HSAX,RXRA,29.87010474,30.00245837,,29.93628155,,
