RXRA,,,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave,,
Thy_35_TN,RXRA,27.9318947,25.05524075,,26.49356773,, 
Thy_37_TN,RXRA,27.04249473,27.07938647,,27.0609406,,
Thy_39_TN,RXRA,26.58473223,26.62958197,,26.6071571,,
Thy_42_TN,RXRA,26.92433157,27.02192293,,26.97312725,,
Thy_44_TN,RXRA,26.15178609,26.14097006,,26.14637808,,
Thy_45_TN,RXRA,26.07239134,26.33869572,,26.20554353,,
Thy_1_HS,RXRA,25.09312737,25.0208645,,25.05699594,,
Thy_3_HS,RXRA,25.26127209,25.53300533,,25.39713871,,
Thy_5_HS,RXRA,24.46460223,24.60526125,,24.53493174,,
Thy_6_HS,RXRA,25.32775514,25.30503697,,25.31639606,,
Thy_7_HS,RXRA,25.77102554,25.57708337,,25.67405445,,
Thy_50_HS,RXRA,25.66078327,25.3982737,,25.52952849,,
Thy_29_HSAX,RXRA,26.04255726,25.70514702,,25.87385214,,
Thy_34_HSAX,RXRA,26.8784701,26.42030259,,26.64938634,,
Thy_71_HSAX,RXRA,25.00809401,24.97659719,,24.9923456,,
Thy_73_HSAX,RXRA,25.19821269,25.34240052,,25.27030661,,
Thy_76_HSAX,RXRA,25.3565374,25.48492007,,25.42072874,,
Thy_78_HSAX,RXRA,28.48128343,28.1262554,,28.30376941,,
