SOD1,,,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave,,
Thy_35_TN,SOD1,21.32707275,21.4471941,,21.38713342,, 
Thy_37_TN,SOD1,22.59841735,22.86714122,,22.73277929,,
Thy_39_TN,SOD1,22.73366002,23.00107493,,22.86736748,,
Thy_42_TN,SOD1,22.99580808,22.68557691,,22.8406925,,
Thy_44_TN,SOD1,20.43752632,20.66249983,,20.55001307,,
Thy_45_TN,SOD1,21.34219003,21.61977145,,21.48098074,,
Thy_1_HS,SOD1,22.0219371,21.96959345,,21.99576528,,
Thy_3_HS,SOD1,21.81932531,21.7834271,,21.8013762,,
Thy_5_HS,SOD1,21.6023177,21.50000629,,21.551162,,
Thy_6_HS,SOD1,21.81272271,21.62548842,,21.71910557,,
Thy_7_HS,SOD1,22.52167834,22.58389007,,22.55278421,,
Thy_50_HS,SOD1,23.78045211,23.78193371,,23.78119291,,
Thy_29_HSAX,SOD1,20.38296238,20.56603074,,20.47449656,,
Thy_34_HSAX,SOD1,21.79760148,21.72453575,,21.76106861,,
Thy_71_HSAX,SOD1,20.55996407,20.98631422,,20.77313914,,
Thy_73_HSAX,SOD1,22.69308512,22.94360774,,22.81834643,,
Thy_76_HSAX,SOD1,21.19680979,21.77283619,,21.48482299,,
Thy_78_HSAX,SOD1,24.70453551,24.85003062,,24.77728307,,
